0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,-2.331658255784836
0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,-2.5312293750669053
0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,-1.0156715029673844
0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,-2.2978327514452044
1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,-2.3920826593456095
1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,-2.637310684572375
1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,-1.3986403708107868
1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,-2.440323295026266
1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,-2.1997215961442773
1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,-2.476994409248354
1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,-1.4811281675200885
1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,-2.115540971517836
0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,-2.4568871638618273
0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,-2.5491654779661044
0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,-3.0846140780347096
0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,-1.9263987458364422
0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,-3.1541883602139844
0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,-3.133774117443087
2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,-1.5154013964694766
0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,-2.624536619493332
0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,-2.6267869241492203
0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,-0.9221543911726737
0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,-2.642303061146256
1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,-2.70258107742986
1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,-2.4138755897299884
0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,-2.9810895579112096
0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,-2.790493897830734
0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,-3.100210809387127
0,0,1,0,1,2,0,0,0,0,1,0,0,0,0,-2.769783836319979
0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,-3.0735888687451816
0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,-2.1090955592802825
0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,-4.062372110362608
0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,-2.2653575537424526
0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,-2.2567793527376434
0,2,0,0,0,1,0,1,0,0,1,0,0,0,0,-2.7295268712600684
0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,-2.472101805230201
0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,-2.538336234910579
0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,-2.1168261402190094
0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,-2.421329854657918
0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,-0.9589537684457721
0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,-3.040917688356691
0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,-3.450443227894132
0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,-1.9497446938542193
